,Compound,SMILES,Electrical Conductivity (S/m),Electrical Conductivity Error (S/m),Viscosity (Pa*s),Viscosity Error (Pa*s),Density (kg/m^3),Density Error (kg/m^3),Cation SMILES,Anion SMILES,Cation radii using Mordred McGowan volume,Anion radii using Mordred McGowan volume,Cation radii using RDKit DCLV van der Waals volume,Anion radii using RDKit DCLV van der Waals volume,Cation radii using RDKit computeMolVolume,Anion radii using RDKit computeMolVolume,Cation radii using RDKit DCLV van der Waals volume & surface area,Anion radii using RDKit DCLV van der Waals volume & surface area,Cation Family,Longest Alkyl Chain
44,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.39,0.01,0.0438,0.0,1437.12,0.3,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2943158964960016e-10,3.2306707371762407e-10,3.3041121959608513e-10,3.3363359493311377e-10,2.551057391241615e-10,2.3045620410745268e-10,imidazolium,4
45,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.835,0.033,0.02039,0.00027,1413.58,0.29,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2960512194138565e-10,3.227164119082593e-10,3.3070835214793155e-10,3.3377080097127446e-10,2.5498261203743857e-10,2.306683395264901e-10,imidazolium,4
46,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.62,0.21,0.0106,0.0004,1390.4,0.6,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2951961866796245e-10,3.2281384864262436e-10,3.3040538812380024e-10,3.3355350593415084e-10,2.5479084884040385e-10,2.3068511013296328e-10,imidazolium,4
47,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.337,0.013,0.0638,0.0022,1439.23,0.61,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2953728792635716e-10,3.2271010516291117e-10,3.307025311500575e-10,3.333473859954052e-10,2.5561127335784827e-10,2.3456876960482837e-10,imidazolium,4
48,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.472,0.019,0.04054,0.00051,1432.51,0.3,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2957339675966324e-10,3.2289647605451673e-10,3.3053945994259077e-10,3.33547783819521e-10,2.560185700993673e-10,2.346655672447658e-10,imidazolium,4
49,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.552,0.022,0.03325,0.00042,1427.43,0.3,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2948590664334605e-10,3.2304146564261993e-10,3.305569395544657e-10,3.3361071628567207e-10,2.5488640223204165e-10,2.346054738862833e-10,imidazolium,4
50,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.64,0.026,0.028,0.00036,1422.86,0.3,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2950483689116957e-10,3.2292330781186447e-10,3.3045203413975527e-10,3.3390789429714744e-10,2.541671965310077e-10,2.351393843091668e-10,imidazolium,4
51,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.733,0.029,0.02375,0.00031,1417.91,0.29,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2970549494731856e-10,3.2276188823763403e-10,3.3067924510909467e-10,3.3342757403272447e-10,2.5553658320057597e-10,2.2742122633285319e-10,imidazolium,4
52,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.4017,0.0051,0.05173,0.00046,1436.35,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.29526121169898e-10,3.2306815670883526e-10,3.3041705086253646e-10,3.3392502304932166e-10,2.542651095290627e-10,2.3039854765209664e-10,imidazolium,4
53,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.4876,0.0061,0.0418,0.00039,1431.2,0.22,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.11189301388811e-10,3.004526117135466e-10,3.2961850261428487e-10,3.2287120024397176e-10,3.3045786396587965e-10,3.3365075185975794e-10,2.564187545778424e-10,2.2735903855952568e-10,imidazolium,4
