anion_sigma_moment_2,anion_sigma_moment_1,Pressure (kPa),cation_sigma_moment_1,cation_WANS,anion_sigma_moment_hb_donor,cation_sigma_moment_0,cation_sigma_moment_3,cation_sigma_moment_hb_acceptor,anion_sigma_moment_0,Temperature (K),anion_sigma_moment_3,anion_WAPS,cation_sigma_moment_hb_donor,anion_sigma_moment_hb_acceptor,cation_sigma_moment_2
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,358.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,278.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,303.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,313.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,323.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,333.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,343.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,353.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,293.0,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,303.0,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,313.0,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,323.0,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,343.0,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,353.0,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.325,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,293.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
1.1071736894584104e-05,0.0010001897633883,101.0,-0.0010007184032061,-0.0397871189037131,0.0,0.1686775636239859,-7.766489687314167e-08,0.0,0.0917051278470689,298.15,1.239599085178641e-07,0.1189310256070271,0.0952259656359705,0.2257904045323147,8.267590570733186e-06
8.827858615734429e-06,0.0010015943785735,100.0,-0.0010003719807595,-0.0293706338409731,0.0,0.2079895592627229,-7.434118828972506e-08,0.0,0.2202295759054979,283.15,8.38703709168742e-08,0.024208942524927,0.0898967744959981,0.1283879761122806,8.18134832100536e-06
