anion_S3,cation_S5,anion_S2,cation_S6,anion_S4,cation_S2,cation_S8,cation_S3,Temperature (K),anion_S6,cation_S7,Pressure (kPa),cation_S4,anion_S5,anion_S7,anion_S1,anion_S8,cation_S1
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,323.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,333.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,343.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,353.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,293.0,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,303.0,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,313.0,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,323.0,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,343.0,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,353.0,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,293.15,0.0835683056691341,0.0,101.325,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0117716362320399,0.0,0.0,0.0,0.0,0.0,0.0346322205376697,298.15,0.0835683056691341,0.0,101.0,0.1004096050952838,0.0051774077009872,0.0,0.0,0.0,0.0
0.0,0.0278056147194438,0.0,0.0,0.015349213278988,0.0,0.0,0.032918192396258,283.15,0.0588753149395163,0.0,100.0,0.1216929436302053,0.131228919064341,0.0,0.0,0.0,0.0
0.0,0.0278056147194438,0.0,0.0,0.015349213278988,0.0,0.0,0.032918192396258,298.15,0.0588753149395163,0.0,100.0,0.1216929436302053,0.131228919064341,0.0,0.0,0.0,0.0
0.0,0.0278056147194438,0.0,0.0,0.015349213278988,0.0,0.0,0.032918192396258,323.15,0.0588753149395163,0.0,100.0,0.1216929436302053,0.131228919064341,0.0,0.0,0.0,0.0
0.0,0.0278056147194438,0.0,0.0,0.015349213278988,0.0,0.0,0.032918192396258,348.15,0.0588753149395163,0.0,100.0,0.1216929436302053,0.131228919064341,0.0,0.0,0.0,0.0
0.0,0.0278056147194438,0.0,0.0,0.015349213278988,0.0,0.0,0.032918192396258,293.15,0.0588753149395163,0.0,100.0,0.1216929436302053,0.131228919064341,0.0,0.0,0.0,0.0
