,Cation S_5,Longest Alkyl Chain (Cation)
79,0.0459758488050939,6
80,0.0459758488050939,6
81,0.0459758488050939,6
82,0.0459758488050939,6
83,0.0459758488050939,6
84,0.0459758488050939,6
85,0.0459758488050939,6
86,0.0459758488050939,6
87,0.0459758488050939,6
88,0.0459758488050939,6
89,0.0459758488050939,6
90,0.0459758488050939,6
91,0.0459758488050939,6
92,0.0459758488050939,6
93,0.0459758488050939,6
94,0.0459758488050939,6
95,0.0459758488050939,6
96,0.0459758488050939,6
97,0.0459758488050939,6
98,0.0459758488050939,6
99,0.0459758488050939,6
100,0.0459758488050939,6
101,0.0459758488050939,6
102,0.0459758488050939,6
103,0.0459758488050939,6
104,0.0459758488050939,6
105,0.0459758488050939,6
106,0.0459758488050939,6
107,0.0459758488050939,6
108,0.0459758488050939,6
109,0.0459758488050939,6
110,0.0459758488050939,6
111,0.0459758488050939,6
112,0.0459758488050939,6
113,0.0459758488050939,6
114,0.0459758488050939,6
115,0.0459758488050939,6
116,0.0278056147194438,4
117,0.0278056147194438,4
118,0.0525209947134648,5
119,0.0525209947134648,5
120,0.0525209947134648,5
121,0.0525209947134648,5
122,0.0525209947134648,5
123,0.0525209947134648,5
124,0.0525209947134648,5
125,0.0525209947134648,5
126,0.0525209947134648,5
127,0.0525209947134648,5
128,0.0525209947134648,5
129,0.0525209947134648,5
130,0.0525209947134648,5
131,0.0525209947134648,5
132,0.0525209947134648,5
133,0.0525209947134648,5
134,0.0525209947134648,5
135,0.0117716362320399,2
136,0.0117716362320399,2
137,0.0117716362320399,2
138,0.0117716362320399,2
139,0.0117716362320399,2
140,0.0117716362320399,2
141,0.0232795070102204,4
142,0.0232795070102204,4
143,0.0232795070102204,4
144,0.0232795070102204,4
145,0.0232795070102204,4
146,0.0232795070102204,4
147,0.0232795070102204,4
148,0.0232795070102204,4
149,0.0232795070102204,4
150,0.0232795070102204,4
151,0.0232795070102204,4
152,0.0232795070102204,4
153,0.0232795070102204,4
154,0.0232795070102204,4
155,0.0232795070102204,4
156,0.0232795070102204,4
157,0.0232795070102204,4
158,0.0232795070102204,4
159,0.0232795070102204,4
160,0.0232795070102204,4
161,0.0232795070102204,4
162,0.0232795070102204,4
163,0.0232795070102204,4
164,0.0232795070102204,4
165,0.0232795070102204,4
166,0.0232795070102204,4
167,0.0232795070102204,4
168,0.0232795070102204,4
