,Cation S_5 (Ammonium Cation Family),Anion S_7 (Ammonium Cation Family),Ionicity (Ammonium Cation Family)
104,0.0189683234914107,0.0038547845184303,0.8099559381313732
105,0.0189683234914107,0.0038547845184303,0.7966097273762239
106,0.0189683234914107,0.0038547845184303,0.7826993884614625
107,0.0189683234914107,0.0038547845184303,0.7706200960332602
108,0.0189683234914107,0.0240158898839622,0.9883378353280536
109,0.0189683234914107,0.0240158898839622,0.9745629527463764
110,0.0189683234914107,0.0240158898839622,0.9602552272302785
111,0.0189683234914107,0.0240158898839622,0.9472502168766678
112,0.0189683234914107,0.0240158898839622,0.93780487886062
113,0.0189683234914107,0.0240158898839622,0.9251658954612004
114,0.0189683234914107,0.0240158898839622,0.9175765804403802
115,0.0189683234914107,0.0240158898839622,0.9053797028871788
116,0.0189683234914107,0.0240158898839622,0.8969706721699832
117,0.0189683234914107,0.0240158898839622,0.872367610710319
